"Classifier","weighted","Cut-off","Seroprevalence_unadjusted","lower_ci_unadjusted","upper_ci_unadjusted","Our specificity","Our sensitivity","Manufacturer's specificity","Manufacturer's sensitivity (low)","Manufacturer's sensitivity (high)","spec_sens","Seroprevalence_adjusted","lower_ci_adjusted","upper_ci_adjusted"
"EI-S1-IgA manufacturer's cut-off","yes",1.1,0.0840317915126674,0.0756232101262693,0.0924403728990655,NA,NA,0.924,0.9167,1,"Manufacturer's sensitivity (high)",0.00869241505699949,0,0.0177926113626251
"EI-S1-IgA manufacturer's cut-off","no",1.1,0.0814982119329945,0.0716979826531517,0.0912984412128374,NA,NA,0.924,0.9167,1,"Manufacturer's sensitivity (high)",0.0059504458149291,0,0.0165567545593478
"EI-S1-IgA manufacturer's cut-off","yes",1.1,0.0840317915126674,0.0756232101262693,0.0924403728990655,NA,NA,0.924,0.9167,1,"Manufacturer's sensitivity (low)",0.00955369515007438,0,0.0195555761853998
"EI-S1-IgA manufacturer's cut-off","no",1.1,0.0814982119329945,0.0716979826531517,0.0912984412128374,NA,NA,0.924,0.9167,1,"Manufacturer's sensitivity (low)",0.00654004036278636,0,0.0181972656272599
"EI-S1-IgA manufacturer's cut-off","yes",1.1,0.0840317915126674,0.0756232101262693,0.0924403728990655,0.932898415657036,0.647668393782384,NA,NA,NA,"Own",0.0291615140487468,0.0146781139478743,0.0436449141496192
"EI-S1-IgA manufacturer's cut-off","no",1.1,0.0814982119329945,0.0716979826531517,0.0912984412128374,0.932898415657036,0.647668393782384,NA,NA,NA,"Own",0.0247975381230145,0.00791708763824468,0.0416779886077843
"EI-S1-IgA optimized cut-off","yes",1.085,0.0851135224022766,0.0765502434779371,0.0936768013266161,0.926374650512581,0.647668393782384,NA,NA,NA,"Own",0.0200127377712029,0.00509525203656284,0.034930223505843
"EI-S1-IgA optimized cut-off","no",1.085,0.08300395256917,0.0731217145101571,0.0928861906281828,0.926374650512581,0.647668393782384,NA,NA,NA,"Own",0.0163378045861879,0,0.0335529562324376
"EI-S1-IgG manufacturer's cut-off","yes",1.1,0.0181718854907981,0.0135422349308416,0.0228015360507545,NA,NA,0.993,0.875,1,"Manufacturer's sensitivity (high)",0.0112506399705922,0.00658835340467422,0.01591292653651
"EI-S1-IgG manufacturer's cut-off","no",1.1,0.0173160173160173,0.0126434761382028,0.0219885584938318,NA,NA,0.993,0.875,1,"Manufacturer's sensitivity (high)",0.0103887384854152,0.00568325895085872,0.0150942180199717
"EI-S1-IgG manufacturer's cut-off","yes",1.1,0.0181718854907981,0.0135422349308416,0.0228015360507545,NA,NA,0.993,0.875,1,"Manufacturer's sensitivity (low)",0.0128708358188918,0.0075371370170985,0.0182045346206848
"EI-S1-IgG manufacturer's cut-off","no",1.1,0.0173160173160173,0.0126434761382028,0.0219885584938318,NA,NA,0.993,0.875,1,"Manufacturer's sensitivity (low)",0.0118848125760568,0.0065017006200492,0.0172679245320643
"EI-S1-IgG manufacturer's cut-off","yes",1.1,0.0181718854907981,0.0135422349308416,0.0228015360507545,0.980428704566636,0.772020725388601,NA,NA,NA,"Own",0,0,0.00429296706036743
"EI-S1-IgG manufacturer's cut-off","no",1.1,0.0173160173160173,0.0126434761382028,0.0219885584938318,0.980428704566636,0.772020725388601,NA,NA,NA,"Own",0,0,0.00321252560535677
"EI-S1-IgG optimized cut-off","yes",1.015,0.0186922531945296,0.0140903126402438,0.0232941937488154,0.977632805219012,0.797927461139896,NA,NA,NA,"Own",0,0,0.00119526361526954
"EI-S1-IgG optimized cut-off","no",1.015,0.018068887634105,0.0132976789527214,0.0228400963154887,0.977632805219012,0.797927461139896,NA,NA,NA,"Own",0,0,0.000609754721861953
"Random Forest","yes",NA,0.018067951116189,0.013509827441949,0.022626074790429,0.9981,0.886,NA,NA,NA,"Own",0.0182874687435686,0.0131318034633514,0.0234431340237857
"Random Forest","no",NA,0.0171277997364954,0.0124802771721085,0.0217753223008823,0.9981,0.886,NA,NA,NA,"Own",0.0172240693773276,0.0119672855696283,0.0224808531850269
"Ro-N-Ig manufacturer's cut-off","yes",1,0.0165780376906422,0.0120688278930245,0.0210872474882599,NA,NA,0.998,0.853,0.995,"Manufacturer's sensitivity (high)",0.014680803313839,0.0101398065387961,0.0192218000888821
"Ro-N-Ig manufacturer's cut-off","no",1,0.0152456239412761,0.0108566929310782,0.019634554951474,NA,NA,0.998,0.853,0.995,"Manufacturer's sensitivity (high)",0.0133389969197142,0.00891912681880994,0.0177588670206184
"Ro-N-Ig manufacturer's cut-off","yes",1,0.0165780376906422,0.0120688278930245,0.0210872474882599,NA,NA,0.998,0.853,0.995,"Manufacturer's sensitivity (low)",0.017130479072435,0.0118317601563156,0.0224291979885546
"Ro-N-Ig manufacturer's cut-off","no",1,0.0152456239412761,0.0108566929310782,0.019634554951474,NA,NA,0.998,0.853,0.995,"Manufacturer's sensitivity (low)",0.0155647754891612,0.0104073947486231,0.0207221562296992
"Ro-N-Ig manufacturer's cut-off","yes",1,0.0165780376906422,0.0120688278930245,0.0210872474882599,0.998136067101584,0.854922279792746,NA,NA,NA,"Own",0.0172486499262274,0.0119627163039445,0.0225345835485101
"Ro-N-Ig manufacturer's cut-off","no",1,0.0152456239412761,0.0108566929310782,0.019634554951474,0.998136067101584,0.854922279792746,NA,NA,NA,"Own",0.0156867242335511,0.0105417877515668,0.0208316607155355
"Ro-N-Ig optimized cut-off","yes",0.421822030241933,0.0184012736605772,0.0137604578327876,0.0230420894883669,0.997204100652377,0.886010362694301,NA,NA,NA,"Own",0.0176688391784504,0.0124143783194143,0.0229233000374863
"Ro-N-Ig optimized cut-off","no",0.421822030241933,0.0175042348955392,0.0128068180283879,0.0222016517626906,0.997204100652377,0.886010362694301,NA,NA,NA,"Own",0.0166531869192708,0.0113346407879588,0.0219717330505829
