Variable;Value;OR;LCI;UCI;p value;OR;LCI;UCI;p value;OR;LCI;UCI;p value (Bayesian)
Sex;Male;;;;;;;;;;;;
Sex;Female;0.982;0.651;1.480;0.930;0.992;0.447;2.200;0.984;0.917;0.583;1.498;0.688
Age;<20;0.716;0.211;1.840;0.535;1.610;0.173;12.500;0.657;0.593;0.144;1.901;0.642
Age;20-34;;;;;;;;;;;;
Age;35-49;0.902;0.533;1.530;0.701;2.750;0.644;13.600;0.187;0.835;0.432;1.494;0.402
Age;50-64;0.695;0.380;1.240;0.225;0.836;0.166;3.970;0.821;0.643;0.331;1.206;0.187
Age;65-79;0.851;0.414;1.640;0.642;3.250;0.509;20.600;0.199;0.786;0.362;1.788;0.581
Age;>80;0.269;0.015;1.270;0.198;0.006;0.000;3.190;0.183;0.134;0.006;1.150;0.140
Sex*;Male;;;;;;;;;;;;
Sex*;Female;0.981;0.651;1.480;0.928;0.987;0.444;2.190;0.973;0.901;0.595;1.405;0.652
Age*;<20;0.715;0.210;1.840;0.533;1.630;0.174;12.700;0.651;0.606;0.165;1.930;0.397
Age*;20-34;;;;;;;;;;;;
Age*;35-49;0.902;0.533;1.530;0.700;2.750;0.645;13.600;0.186;0.797;0.413;1.465;0.492
Age*;50-64;0.694;0.380;1.240;0.224;0.833;0.165;3.970;0.819;0.643;0.320;1.223;0.213
Age*;65-79;0.852;0.415;1.650;0.645;3.240;0.508;20.600;0.200;0.780;0.323;1.750;0.576
Age*;>80;0.268;0.015;1.270;0.197;0.006;0.000;3.160;0.181;0.121;0.006;1.156;0.072
Country of birth *;Germany;;;;;;;;;;;;
Country of birth *;Others;0.989;0.531;1.720;0.971;0.538;0.094;2.330;0.442;0.867;0.408;1.696;0.715
Education level *;<12 years of school;;;;;;;;;;;;
Education level *;>= 12 years of school;0.842;0.518;1.400;0.497;0.619;0.165;2.390;0.471;0.717;0.362;1.332;0.268
Education level *;Pursuing school;0.743;0.113;2.830;0.704;0.300;0.0142;4.080;0.393;0.329;0.041;2.124;0.284
Employment status Current *;Employed;;;;;;;;;;;;
Employment status Current *;Self Employed;1.890;0.966;3.48;0.7984;1.200;0.232;5.300;0.818;1.800;0.867;3.701;0.109
Employment status Current *;Unemployed;1.030;0.582;1.75;0.0487;0.916;0.257;3.020;0.888;0.913;0.465;1.704;0.792
Employment status Current *;Others;1.210;0.195;3.99;0.9138;1.640;0.038;19.500;0.743;1.062;0.133;5.746;0.883
Employment status Past Year *;No;;;;;;;;;;;;
